name,threads,n,run,duration
mpi-pi,2,4,9,0.01405712
mpi-pi++,2,4,9,0.014021
cpp11-pi,2,4,10,0.004164
openMP-pi,2,4,10,0.010241
mpi-pi,2,4,10,0.01449962
mpi-pi++,2,4,10,0.0139496
cpp11-pi,4,4,1,0.005278
openMP-pi,4,4,1,0.010721
mpi-pi,4,4,1,0.01245731
mpi-pi++,4,4,1,0.0225504
cpp11-pi,4,4,2,0.002219
openMP-pi,4,4,2,0.004334
mpi-pi,4,4,2,0.01220530
mpi-pi++,4,4,2,0.0122095
cpp11-pi,4,4,3,0.002192
openMP-pi,4,4,3,0.003314
mpi-pi,4,4,3,0.02266655
mpi-pi++,4,4,3,0.0121706
cpp11-pi,4,4,4,0.002179
openMP-pi,4,4,4,0.003399
mpi-pi,4,4,4,0.02210463
mpi-pi++,4,4,4,0.0221192
cpp11-pi,4,4,5,0.002239
openMP-pi,4,4,5,0.003049
mpi-pi,4,4,5,0.01218341
mpi-pi++,4,4,5,0.0223331
cpp11-pi,4,4,6,0.002169
openMP-pi,4,4,6,0.003024
mpi-pi,4,4,6,0.02219400
mpi-pi++,4,4,6,0.0122141
cpp11-pi,4,4,7,0.002283
openMP-pi,4,4,7,0.008527
mpi-pi,4,4,7,0.02259745
mpi-pi++,4,4,7,0.0221747
cpp11-pi,4,4,8,0.002199
openMP-pi,4,4,8,0.002846
mpi-pi,4,4,8,0.02232575
mpi-pi++,4,4,8,0.0221961
cpp11-pi,4,4,9,0.002261
openMP-pi,4,4,9,0.002988
mpi-pi,4,4,9,0.02269105
mpi-pi++,4,4,9,0.0222371
cpp11-pi,4,4,10,0.006688
openMP-pi,4,4,10,0.013292
mpi-pi,4,4,10,0.02230072
mpi-pi++,4,4,10,0.0222399
cpp11-pi,8,4,1,0.001255
openMP-pi,8,4,1,0.002134
mpi-pi,8,4,1,0.02120649
mpi-pi++,8,4,1,0.0312398
cpp11-pi,8,4,2,0.001225
openMP-pi,8,4,2,0.001918
mpi-pi,8,4,2,0.03128713
mpi-pi++,8,4,2,0.0313061
cpp11-pi,8,4,3,0.001204
openMP-pi,8,4,3,0.00189
mpi-pi,8,4,3,0.03113079
mpi-pi++,8,4,3,0.0311368
cpp11-pi,8,4,4,0.001235
openMP-pi,8,4,4,0.001764
mpi-pi,8,4,4,0.03106994
mpi-pi++,8,4,4,0.0312837
cpp11-pi,8,4,5,0.001266
openMP-pi,8,4,5,0.001806
mpi-pi,8,4,5,0.02147948
mpi-pi++,8,4,5,0.0311648
cpp11-pi,8,4,6,0.003113
openMP-pi,8,4,6,0.005323
mpi-pi,8,4,6,0.02133922
mpi-pi++,8,4,6,0.0311572
cpp11-pi,8,4,7,0.002433
openMP-pi,8,4,7,0.013231
mpi-pi,8,4,7,0.03117330
mpi-pi++,8,4,7,0.0311387
cpp11-pi,8,4,8,0.001254
openMP-pi,8,4,8,0.001971
mpi-pi,8,4,8,0.03122698
mpi-pi++,8,4,8,0.0312296
cpp11-pi,8,4,9,0.00125
openMP-pi,8,4,9,0.001925
mpi-pi,8,4,9,0.02134176
mpi-pi++,8,4,9,0.0313133
cpp11-pi,8,4,10,0.001237
openMP-pi,8,4,10,0.001789
mpi-pi,8,4,10,0.03124043
mpi-pi++,8,4,10,0.0311436
cpp11-pi,1,8,1,0.016882
openMP-pi,1,8,1,0.018413
mpi-pi,1,8,1,0.01607131
mpi-pi++,1,8,1,0.015927
cpp11-pi,1,8,2,0.029229
openMP-pi,1,8,2,0.017721
mpi-pi,1,8,2,0.01595313
mpi-pi++,1,8,2,0.0158768
cpp11-pi,1,8,3,0.023867
openMP-pi,1,8,3,0.019196
mpi-pi,1,8,3,0.01597727
mpi-pi++,1,8,3,0.0157796
cpp11-pi,1,8,4,0.021807
openMP-pi,1,8,4,0.017199
mpi-pi,1,8,4,0.01592641
mpi-pi++,1,8,4,0.0172517
cpp11-pi,1,8,5,0.021227
openMP-pi,1,8,5,0.017212
mpi-pi,1,8,5,0.01581468
mpi-pi++,1,8,5,0.0157899
cpp11-pi,1,8,6,0.026864
openMP-pi,1,8,6,0.017597
mpi-pi,1,8,6,0.01583096
mpi-pi++,1,8,6,0.015722
cpp11-pi,1,8,7,0.027171
openMP-pi,1,8,7,0.017532
mpi-pi,1,8,7,0.01582615
mpi-pi++,1,8,7,0.0157298
cpp11-pi,1,8,8,0.016213
openMP-pi,1,8,8,0.018332
mpi-pi,1,8,8,0.01578601
mpi-pi++,1,8,8,0.0157127
cpp11-pi,1,8,9,0.019969
openMP-pi,1,8,9,0.017703
mpi-pi,1,8,9,0.01581485
mpi-pi++,1,8,9,0.0157949
cpp11-pi,1,8,10,0.016365
openMP-pi,1,8,10,0.017029
mpi-pi,1,8,10,0.01589570
mpi-pi++,1,8,10,0.0158381
cpp11-pi,2,8,1,0.015262
openMP-pi,2,8,1,0.011614
mpi-pi,2,8,1,0.01823994
mpi-pi++,2,8,1,0.00809635
cpp11-pi,2,8,2,0.00828
openMP-pi,2,8,2,0.011711
mpi-pi,2,8,2,0.01845057
mpi-pi++,2,8,2,0.0183159
cpp11-pi,2,8,3,0.012703
openMP-pi,2,8,3,0.011424
mpi-pi,2,8,3,0.01855626
mpi-pi++,2,8,3,0.0183057
cpp11-pi,2,8,4,0.009799
openMP-pi,2,8,4,0.012919
mpi-pi,2,8,4,0.01836446
mpi-pi++,2,8,4,0.0181883
cpp11-pi,2,8,5,0.008423
openMP-pi,2,8,5,0.010365
mpi-pi,2,8,5,0.01902658
mpi-pi++,2,8,5,0.0184853
cpp11-pi,2,8,6,0.012413
openMP-pi,2,8,6,0.01228
mpi-pi,2,8,6,0.01841363
mpi-pi++,2,8,6,0.0186073
cpp11-pi,2,8,7,0.019933
openMP-pi,2,8,7,0.011956
mpi-pi,2,8,7,0.00795011
mpi-pi++,2,8,7,0.0181094
cpp11-pi,2,8,8,0.008175
openMP-pi,2,8,8,0.011323
mpi-pi,2,8,8,0.01840367
mpi-pi++,2,8,8,0.0181653
cpp11-pi,2,8,9,0.019265
openMP-pi,2,8,9,0.013795
mpi-pi,2,8,9,0.01815861
mpi-pi++,2,8,9,0.0181453
cpp11-pi,2,8,10,0.008102
openMP-pi,2,8,10,0.010806
mpi-pi,2,8,10,0.00800541
mpi-pi++,2,8,10,0.00808928
cpp11-pi,4,8,1,0.004204
openMP-pi,4,8,1,0.010804
mpi-pi,4,8,1,0.01442668
mpi-pi++,4,8,1,0.0243495
cpp11-pi,4,8,2,0.012183
openMP-pi,4,8,2,0.008856
mpi-pi,4,8,2,0.02440118
mpi-pi++,4,8,2,0.014411
cpp11-pi,4,8,3,0.004339
openMP-pi,4,8,3,0.011996
mpi-pi,4,8,3,0.01439195
mpi-pi++,4,8,3,0.014171
cpp11-pi,4,8,4,0.004434
openMP-pi,4,8,4,0.01069
mpi-pi,4,8,4,0.02437573
