name,threads,n,duration
mpi-pi++,32,1,0.000852969
cpp11-pi,32,2,0.002304
openMP-pi,32,2,0.007876
mpi-pi,32,2,0.00100108
mpi-pi++,32,2,0.000687496
cpp11-pi,32,4,0.002117
openMP-pi,32,4,0.009913
mpi-pi,32,4,0.00180409
mpi-pi++,32,4,0.00146848
cpp11-pi,32,8,0.00267
openMP-pi,32,8,0.005292
mpi-pi,32,8,0.00233280
mpi-pi++,32,8,0.00194644
cpp11-pi,32,16,0.004702
openMP-pi,32,16,0.010089
mpi-pi,32,16,0.00440610
mpi-pi++,32,16,0.00371026
cpp11-pi,32,32,0.007338
openMP-pi,32,32,0.012596
mpi-pi,32,32,0.00655225
mpi-pi++,32,32,0.00435479
cpp11-pi,32,64,0.012429
openMP-pi,32,64,0.012418
mpi-pi,32,64,0.01003534
mpi-pi++,32,64,0.0117904
cpp11-pi,32,128,0.021486
openMP-pi,32,128,0.016268
mpi-pi,32,128,0.01985574
mpi-pi++,32,128,0.0222309
cpp11-pi,32,256,0.031947
openMP-pi,32,256,0.03289
mpi-pi,32,256,0.03325247
mpi-pi++,32,256,0.0284031
cpp11-pi,32,512,0.070888
openMP-pi,32,512,0.089038
mpi-pi,32,512,0.07647951
mpi-pi++,32,512,0.058233
cpp11-pi,32,1024,0.135756
openMP-pi,32,1024,0.125387
mpi-pi,32,1024,0.10937072
mpi-pi++,32,1024,0.116757
cpp11-pi,32,2048,0.219833
openMP-pi,32,2048,0.20143
mpi-pi,32,2048,0.18718473
mpi-pi++,32,2048,0.218811
cpp11-pi,32,4096,0.390783
openMP-pi,32,4096,0.397109
mpi-pi,32,4096,0.37457212
mpi-pi++,32,4096,0.390365
cpp11-pi,32,8192,0.75955
openMP-pi,32,8192,0.809492
mpi-pi,32,8192,0.74761206
mpi-pi++,32,8192,0.861673
cpp11-pi,32,16384,1.55558
openMP-pi,32,16384,1.57927
mpi-pi,32,16384,1.49191991
mpi-pi++,32,16384,1.55959
cpp11-pi,32,1,0.002264
openMP-pi,32,1,0.011684
mpi-pi,32,1,0.00067782
mpi-pi++,32,1,0.0012376
cpp11-pi,32,2,0.001337
openMP-pi,32,2,0.010411
mpi-pi,32,2,0.00081375
mpi-pi++,32,2,0.00130972
cpp11-pi,32,4,0.00235
openMP-pi,32,4,0.012421
mpi-pi,32,4,0.00127287
mpi-pi++,32,4,0.0020517
cpp11-pi,32,8,0.003322
openMP-pi,32,8,0.003106
mpi-pi,32,8,0.00170328
mpi-pi++,32,8,0.00260208
cpp11-pi,32,16,0.004752
openMP-pi,32,16,0.009537
mpi-pi,32,16,0.00547588
mpi-pi++,32,16,0.00381002
cpp11-pi,32,32,0.007291
openMP-pi,32,32,0.014186
mpi-pi,32,32,0.00666191
mpi-pi++,32,32,0.00581814
cpp11-pi,32,64,0.011116
openMP-pi,32,64,0.010585
mpi-pi,32,64,0.01037972
mpi-pi++,32,64,0.0115522
cpp11-pi,32,128,0.015595
openMP-pi,32,128,0.029558
mpi-pi,32,128,0.01882215
mpi-pi++,32,128,0.0164523
cpp11-pi,32,256,0.037089
openMP-pi,32,256,0.032483
mpi-pi,32,256,0.03547611
mpi-pi++,32,256,0.0328567
cpp11-pi,32,512,0.060919
openMP-pi,32,512,0.05716
mpi-pi,32,512,0.06126878
mpi-pi++,32,512,0.076795
cpp11-pi,32,1024,0.136083
openMP-pi,32,1024,0.10953
mpi-pi,32,1024,0.13495347
mpi-pi++,32,1024,0.126913
cpp11-pi,32,2048,0.223872
