name,threads,n,run,duration
openMP-pi,4,4,2,0.004761
mpi-pi,4,4,2,0.02096872
mpi-pi++,4,4,2,0.0119468
cpp11-pi,4,4,3,0.003143
openMP-pi,4,4,3,0.004638
mpi-pi,4,4,3,0.02191603
mpi-pi++,4,4,3,0.0209635
cpp11-pi,4,4,4,0.003049
openMP-pi,4,4,4,0.005137
mpi-pi,4,4,4,0.02094475
mpi-pi++,4,4,4,0.0209691
cpp11-pi,4,4,5,0.001073
openMP-pi,4,4,5,0.001296
mpi-pi,4,4,5,0.01192791
mpi-pi++,4,4,5,0.0209659
cpp11-pi,4,4,6,0.001942
openMP-pi,4,4,6,0.004837
mpi-pi,4,4,6,0.02103785
mpi-pi++,4,4,6,0.0209471
cpp11-pi,4,4,7,0.00114
openMP-pi,4,4,7,0.001819
mpi-pi,4,4,7,0.02088242
mpi-pi++,4,4,7,0.0209849
cpp11-pi,4,4,8,0.001114
openMP-pi,4,4,8,0.001478
mpi-pi,4,4,8,0.02141224
mpi-pi++,4,4,8,0.0212953
cpp11-pi,4,4,9,0.001079
openMP-pi,4,4,9,0.001472
mpi-pi,4,4,9,0.02107539
mpi-pi++,4,4,9,0.011008
cpp11-pi,4,4,10,0.003321
openMP-pi,4,4,10,0.004726
mpi-pi,4,4,10,0.01105003
mpi-pi++,4,4,10,0.021288
cpp11-pi,8,4,1,0.002533
openMP-pi,8,4,1,0.022009
mpi-pi,8,4,1,0.03074815
mpi-pi++,8,4,1,0.0306593
cpp11-pi,8,4,2,0.001022
openMP-pi,8,4,2,0.006885
mpi-pi,8,4,2,0.03092642
mpi-pi++,8,4,2,0.0310918
cpp11-pi,8,4,3,0.001033
openMP-pi,8,4,3,0.004723
mpi-pi,8,4,3,0.02107607
mpi-pi++,8,4,3,0.0307583
cpp11-pi,8,4,4,0.000646
openMP-pi,8,4,4,0.003299
mpi-pi,8,4,4,0.03053100
mpi-pi++,8,4,4,0.0307357
cpp11-pi,8,4,5,0.00104
openMP-pi,8,4,5,0.001479
mpi-pi,8,4,5,0.03064825
mpi-pi++,8,4,5,0.021179
