name,slurm_node,vectorization,randomness,run_id,nodes,cpus,tasks_per_node,width,height,rounds,size,threads,core_duration,core_duration_per_cell,top_bottom_duration,top_bottom_duration_per_cell,calculation_duration,calculation_duration_per_cell,communication_duration,total_duration,render_duration,images
lgca-100000,lxbk1029,avx512,fake,20036604,2,48,1,100000,50000,1000,2,48,134.291653714,0.01342970255950238,0.513427877,1.2835696925000002,134.805081591,0.0134805081591,3.028425349,137.83350694,0,0
lgca-10000,lxbk1029,avx512,fake,20036604,2,1,48,10000,106,1000,96,1,0.253436483,0.002538426312099359,0.057641341,0.030021531770833332,0.311077824,0.0030569754716981133,0.029408813,0.340486637,0,0
lgca-100,lxbk1029,avx512,fake,20036609,2,48,1,100,50,1000,2,48,0.069644523,7.2546378125,0.001446464,3.61616,0.071090987,7.1090987,0.028836812,0.099927799,0,0
lgca-1000,lxbk1029,avx512,fake,20036609,2,48,1,1000,500,1000,2,48,0.105765247,0.10619000702811245,0.009344552,2.336138,0.115109799,0.115109799,0.022933053,0.138042852,0,0
lgca-10000,lxbk1029,avx512,fake,20036609,2,48,1,10000,5000,1000,2,48,1.3002864029999999,0.01300806725690276,0.08914333,2.22858325,1.389429733,0.01389429733,0.067730015,1.457159748,0,0
lgca-10000,lxbk1029,avx512,fake,20036609,2,24,2,10000,2500,1000,4,24,0.334872711,0.0033514082365892713,0.063681456,0.7960182,0.398554167,0.00398554167,0.034192234,0.432746401,0,0
lgca-10000,lxbk1029,avx512,fake,20036609,2,16,3,10000,1668,1000,6,16,0.333164418,0.003332977370948379,0.06433593,0.53613275,0.397500348,0.0039718260191846525,0.283110181,0.680610529,0,0
lgca-10000,lxbk1029,avx512,fake,20036609,2,12,4,10000,1250,1000,8,12,0.29756131,0.0029803817107371794,0.069574274,0.4348392125,0.367135584,0.00367135584,0.048384252,0.415519836,0,0
lgca-10000,lxbk1029,avx512,fake,20036609,2,8,6,10000,834,1000,12,8,0.288900021,0.002893630018028846,0.059134298,0.24639290833333333,0.348034319,0.0034775611410871304,0.056826988,0.404861307,0,0
lgca-10000,lxbk1029,avx512,fake,20036609,2,6,8,10000,626,1000,16,6,0.291786979,0.00292254586338141,0.06008346,0.1877608125,0.351870439,0.0035130834564696487,0.027122169,0.378992608,0,0
lgca-10000,lxbk1029,avx512,fake,20036609,2,4,12,10000,418,1000,24,4,0.261642735,0.0026206203425480773,0.061223852,0.12754969166666666,0.322866587,0.003218367095295056,0.071134054,0.394000641,0,0
lgca-10000,lxbk1029,avx512,fake,20036609,2,2,24,10000,210,1000,48,2,0.391340624,0.003919677724358975,0.088908641,0.09261316770833333,0.480249265,0.0047643776289682535,0.023472162,0.503721427,0,0
lgca-100000,lxbk1029,avx512,fake,20036609,2,48,1,100000,50000,1000,2,48,164.399101636,0.016440567786311453,0.513515198,1.283787995,164.912616834,0.0164912616834,1.879821521,166.792438355,0,0
lgca-10000,lxbk1029,avx512,fake,20036609,2,1,48,10000,106,1000,96,1,0.246705546,0.0024710090745192308,0.058355705,0.030393596354166667,0.305061251,0.0029978503439465408,0.024683557,0.329744808,0,0
lgca-100,lxbk1029,avx512,fake,20036614,2,48,1,100,50,1000,2,48,0.074215762,7.730808541666667,0.001508688,3.77172,0.07572445,7.572445,0.03080263,0.10652708,0,0
lgca-1000,lxbk1029,avx512,fake,20036614,2,48,1,1000,500,1000,2,48,0.109327016,0.10976608032128514,0.010430102,2.6075255,0.119757118,0.119757118,0.019921491,0.139678609,0,0
lgca-10000,lxbk1029,avx512,fake,20036614,2,48,1,10000,5000,1000,2,48,1.322515284,0.013230445018007202,0.087840493,2.196012325,1.410355777,0.01410355777,0.067062591,1.477418368,0,0
lgca-10000,lxbk1029,avx512,fake,20036614,2,24,2,10000,2500,1000,4,24,0.339632808,0.0033990473178542834,0.066268875,0.8283609375000001,0.405901683,0.00405901683,0.023926866,0.429828549,0,0
lgca-10000,lxbk1029,avx512,fake,20036614,2,16,3,10000,1668,1000,6,16,0.347901991,0.003480412074829932,0.067435686,0.56196405,0.415337677,0.004150056724620304,0.24171033,0.657048007,0,0
lgca-10000,lxbk1029,avx512,fake,20036614,2,12,4,10000,1250,1000,8,12,0.291822584,0.002922902483974359,0.060306538,0.3769158625,0.352129122,0.00352129122,0.0160041,0.368133222,0,0
lgca-10000,lxbk1029,avx512,fake,20036614,2,8,6,10000,834,1000,12,8,0.297102836,0.002975789623397436,0.059401709,0.24750712083333334,0.356504545,0.0035621956934452437,0.048249353,0.404753898,0,0
lgca-10000,lxbk1029,avx512,fake,20036614,2,6,8,10000,626,1000,16,6,0.301391485,0.003018744841746795,0.089315624,0.279111325,0.390707109,0.0039008297623801917,0.021638968,0.412346077,0,0
lgca-10000,lxbk1029,avx512,fake,20036614,2,4,12,10000,418,1000,24,4,0.305506257,0.0030599585036057693,0.060842599,0.12675541458333334,0.366348856,0.0036518027910685804,0.041175272,0.407524128,0,0
lgca-10000,lxbk1029,avx512,fake,20036614,2,2,24,10000,210,1000,48,2,0.360443467,0.0036102110076121794,0.088686468,0.0923817375,0.449129935,0.0044556541170634924,0.049125151,0.498255086,0,0
lgca-100000,lxbk1029,avx512,fake,20036614,2,48,1,100000,50000,1000,2,48,150.92203304,0.015092807016280652,0.529613327,1.3240333174999999,151.451646367,0.0151451646367,0.864391157,152.316037524,0,0
lgca-10000,lxbk1029,avx512,fake,20036614,2,1,48,10000,106,1000,96,1,0.250514186,0.002509156510416667,0.057879639,0.0301456453125,0.308393825,0.003030599695361635,0.029121631,0.337515456,0,0
lgca-100,lxbk1029,avx512,fake,20036619,2,48,1,100,50,1000,2,48,0.06991824,7.28315,0.001502267,3.7556675,0.071420507,7.1420507,0.039172151,0.110592658,0,0
lgca-1000,lxbk1029,avx512,fake,20036619,2,48,1,1000,500,1000,2,48,0.120685074,0.12116975301204819,0.009581323,2.39533075,0.130266397,0.130266397,0.045911454,0.176177851,0,0
lgca-10000,lxbk1029,avx512,fake,20036619,2,48,1,10000,5000,1000,2,48,1.30758417,0.01308107412965186,0.088693964,2.2173491,1.3962781340000001,0.01396278134,0.087565551,1.483843685,0,0
lgca-10000,lxbk1029,avx512,fake,20036619,2,24,2,10000,2500,1000,4,24,0.344485892,0.0034476170136108885,0.065038348,0.8129793499999999,0.40952424,0.0040952424,0.022377659,0.431901899,0,0
lgca-10000,lxbk1029,avx512,fake,20036619,2,16,3,10000,1668,1000,6,16,0.334388329,0.0033452213785514205,0.065900524,0.5491710333333333,0.400288853,0.003999688778976818,0.249512605,0.649801458,0,0
lgca-10000,lxbk1029,avx512,fake,20036619,2,12,4,10000,1250,1000,8,12,0.314357396,0.003148611738782051,0.086879186,0.5429949125,0.401236582,0.00401236582,0.01444565,0.415682232,0,0
lgca-10000,lxbk1029,avx512,fake,20036619,2,8,6,10000,834,1000,12,8,0.292077246,0.002925453185096154,0.065046182,0.2710257583333333,0.357123428,0.003568379576338929,0.059593605,0.416717033,0,0
lgca-10000,lxbk1029,avx512,fake,20036619,2,6,8,10000,626,1000,16,6,0.295694404,0.002961682732371795,0.07007023,0.21896946875,0.365764634,0.0036518034544728434,0.022331219,0.388095853,0,0
lgca-10000,lxbk1029,avx512,fake,20036619,2,4,12,10000,418,1000,24,4,0.271257795,0.002716925030048077,0.060607145,0.12626488541666667,0.33186494,0.003308063596491228,0.05697384,0.38883878,0,0
lgca-10000,lxbk1029,avx512,fake,20036619,2,2,24,10000,210,1000,48,2,0.30846035,0.0030895467748397435,0.074225233,0.07731795104166667,0.382685583,0.0037964839583333335,0.103316167,0.48600175,0,0
lgca-100000,lxbk1029,avx512,fake,20036619,2,48,1,100000,50000,1000,2,48,159.216365171,0.01592227340803632,0.530872358,1.327180895,159.747237529,0.0159747237529,0.096175661,159.84341319,0,0
lgca-10000,lxbk1029,avx512,fake,20036619,2,1,48,10000,106,1000,96,1,0.253504845,0.0025391110276442304,0.058346605,0.030388856770833333,0.31185145,0.0030645779284591197,0.02397216,0.33582361,0,0
lgca-100,lxbk1029,avx512,fake,20036624,2,48,1,100,50,1000,2,48,0.06390433,6.656701041666666,0.001540905,3.8522625,0.065445235,6.5445235,0.025596244,0.091041479,0,0
lgca-1000,lxbk1029,avx512,fake,20036624,2,48,1,1000,500,1000,2,48,0.124059459,0.12455768975903614,0.009981073,2.49526825,0.134040532,0.134040532,0.041879892,0.175920424,0,0
lgca-10000,lxbk1029,avx512,fake,20036624,2,48,1,10000,5000,1000,2,48,1.299824439,0.013003445768307323,0.080111589,2.002789725,1.379936028,0.01379936028,0.075299857,1.455235885,0,0
lgca-10000,lxbk1029,avx512,fake,20036624,2,24,2,10000,2500,1000,4,24,0.346684323,0.003469618925140112,0.068227862,0.852848275,0.414912185,0.00414912185,0.020714974,0.435627159,0,0
lgca-10000,lxbk1029,avx512,fake,20036624,2,16,3,10000,1668,1000,6,16,0.329706471,0.00329838406362545,0.06624221,0.5520184166666666,0.395948681,0.003956321752597922,0.222292522,0.618241203,0,0
lgca-10000,lxbk1029,avx512,fake,20036624,2,12,4,10000,1250,1000,8,12,0.291889933,0.0029235770532852565,0.061008495,0.38130309375,0.352898428,0.00352898428,0.026533335,0.379431763,0,0
lgca-10000,lxbk1029,avx512,fake,20036624,2,8,6,10000,834,1000,12,8,0.287808882,0.002882701141826923,0.070072877,0.29197032083333335,0.357881759,0.0035759568245403678,0.029566396,0.387448155,0,0
lgca-10000,lxbk1029,avx512,fake,20036624,2,6,8,10000,626,1000,16,6,0.269406524,0.00269838265224359,0.060259546,0.18831108125,0.32966607,0.0032913944688498405,0.035136668,0.364802738,0,0
lgca-10000,lxbk1029,avx512,fake,20036624,2,4,12,10000,418,1000,24,4,0.30395975,0.0030444686498397435,0.087545288,0.18238601666666668,0.391505038,0.0039025621810207336,0.033167571,0.424672609,0,0
