implementation,name,batch,run,nodes,tasks_per_node,tasks,cpus,entries,total_ram,ram_per_task,reading_the_input,dividing_the_input_into_buckets,sending_to_workers,writing_to_disk,receiving_from_workers,fetching_time_from_workers,receiving_on_worker,sorting_on_worker,sending_to_manager,duration
mpi-multi,sort16K.data,28,1,1,4,4,16,16384,4004,1001,0.001083344,0.032072404,0.006278052,0.00207499,0.00089769,0.00000556,0.036268,0.000538,0.004789,0.042892001
mpi-multi,sort16K.data,28,2,1,4,4,16,16384,4004,1001,0.00099825,0.03271155,0.006148459,0.001966528,0.001049025,0.000016561,0.03698,0.000502,0.004631,0.043064588
mpi-multi,sort16K.data,28,3,1,4,4,16,16384,4004,1001,0.001145496,0.032617697,0.005358167,0.002075341,0.001043266,0.00000669,0.037092,0.001086,0.004921,0.043323498
mpi-multi,sort4K.data,15,0,1,4,4,16,4096,4000,1000,0.000242848,0.033887329,0.00225648,0.002035962,0.000268879,0.00000674,0.039705,0.000564,0.003848,0.040786205
mpi-multi,sort4K.data,15,1,1,4,4,16,4096,4000,1000,0.00026906,0.033664861,0.00193654,0.00191153,0.000272265,0.00000617,0.035813,0.000618,0.003754,0.040317199
mpi-multi,sort4K.data,15,2,1,4,4,16,4096,4000,1000,0.00026608,0.033947361,0.00194253,0.002025343,0.00027967,0.00000603,0.035899,0.000561,0.00354,0.040102701
mpi-multi,sort4K.data,15,3,1,4,4,16,4096,4000,1000,0.000351152,0.033294599,0.00225867,0.002060346,0.000273145,0.000004941,0.035369,0.000666,0.003427,0.039592853
mpi-multi,sort1K.data,2,0,1,4,4,16,1024,4000,1000,0.000187527,0.034444959,0.001781033,0.002067963,0.000323653,0.000010091,0.03869,0.000546,0.003652,0.040889599
mpi-multi,sort1K.data,2,1,1,4,4,16,1024,4000,1000,0.000232158,0.034154099,0.001945228,0.003186953,0.000305041,0.000026541,0.03625,0.000551,0.004754,0.042010329
mpi-multi,sort1K.data,2,2,1,4,4,16,1024,4000,1000,0.000194247,0.034313335,0.00170747,0.003356229,0.00024998,0.00000642,0.036435,0.000526,0.005447,0.042631052
mpi-multi,sort1K.data,2,3,1,4,4,16,1024,4000,1000,0.000205038,0.033030719,0.001916708,0.003111335,0.000280561,0.00000687,0.035698,0.00058,0.00467,0.041321145
