implementation,name,batch,run,nodes,tasks_per_node,tasks,cpus,entries,total_ram,ram_per_task,reading_the_input,dividing_the_input_into_buckets,sending_to_workers,writing_to_disk,receiving_from_workers,fetching_time_from_workers,receiving_on_worker,sorting_on_worker,sending_to_manager,duration
mpi-multi,sort4M.data,81,0,1,8,8,32,4194304,8952,1119,0.044103292,0.081157241,0.223226713,0.064126034,0.065096486,0.000021111,0.473774,0.005393,0.155721,0.446187926
mpi-multi,sort4M.data,81,1,1,8,8,32,4194304,8952,1119,0.059697701,0.080973886,0.207507666,0.075097221,0.058616826,0.000020491,0.278171,0.00726,0.163448,0.451935173
mpi-multi,sort4M.data,81,2,1,8,8,32,4194304,8952,1119,0.044650792,0.084081399,0.217499657,0.072220544,0.065297174,0.000020011,0.277506,0.007307,0.163128,0.451788916
mpi-multi,sort4M.data,81,3,1,8,8,32,4194304,8952,1119,0.042129294,0.081926122,0.211003413,0.075027481,0.062109384,0.000028121,0.269794,0.008633,0.162919,0.445604734
radix-sort,sort4M.data,78,0,1,1,1,1,4194304,2000,2000,0.136268326,0,0,0.156866231,0,0,0,0.743135317,0,1.037356163
sort-unstable,sort4M.data,78,0,1,1,1,1,4194304,2000,2000,0.220063677,0,0,0.15350447,0,0,0,0.612768872,0,1.000460968
radix-sort,sort4M.data,78,1,1,1,1,1,4194304,2000,2000,0.203198186,0,0,0.60454904,0,0,0,0.742933092,0,1.565173419
sort-unstable,sort4M.data,78,1,1,1,1,1,4194304,2000,2000,0.195706242,0,0,0.737173459,0,0,0,0.586817348,0,1.5328708149999999
radix-sort,sort4M.data,78,2,1,1,1,1,4194304,2000,2000,0.131667714,0,0,0.347533086,0,0,0,0.74373607,0,1.22395133
sort-unstable,sort4M.data,78,2,1,1,1,1,4194304,2000,2000,0.134785237,0,0,0.288817844,0,0,0,0.564177704,0,0.989007097
radix-sort,sort4M.data,78,3,1,1,1,1,4194304,2000,2000,0.132210011,0,0,0.262683178,0,0,0,0.73775941,0,1.133670332
sort-unstable,sort4M.data,78,3,1,1,1,1,4194304,2000,2000,0.134346812,0,0,0.291218005,0,0,0,0.567133453,0,0.993908798
mpi-multi,sort16M.data,94,0,1,8,8,32,16777216,11832,1479,0.259722823,0.351537592,0.735736228,0.013964579,0.572962195,0.000043021,1.778845,0.253987,0.880503,2.205052463
mpi-multi,sort16M.data,94,1,1,8,8,32,16777216,11832,1479,0.239204194,0.344058715,0.7193436,0.078224705,0.399327554,0.000064702,0.963782,0.27251,0.581658,1.872832219
mpi-multi,sort16M.data,94,2,1,8,8,32,16777216,11832,1479,0.145279328,0.355633409,0.670096235,0.07762431,0.411036076,0.000030511,0.850328,0.268676,0.589432,1.752914455
mpi-multi,sort16M.data,94,3,1,8,8,32,16777216,11832,1479,0.286300659,0.311951052,0.693029582,0.074270652,0.383501885,0.000043811,0.945307,0.286952,0.560147,1.843447267
mpi-single,sort4K.data,19,0,1,2,2,2,4096,2000,1000,0.000063971,0.001099252,0.209543884,0.000784362,0.03645084,0.000016809,0.228606,0.000152,0.02303,0.2500957
mpi-single,sort4K.data,19,1,1,2,2,2,4096,2000,1000,0.000086122,0.000940917,0.209782408,0.000758183,0.036632766,0.000017735,0.224879,0.000154,0.02322,0.250058236
mpi-single,sort4K.data,19,2,1,2,2,2,4096,2000,1000,0.000069957,0.000929634,0.209827412,0.000717172,0.037002992,0.000016953,0.224936,0.000153,0.023567,0.250409384
mpi-single,sort4K.data,19,3,1,2,2,2,4096,2000,1000,0.000065461,0.000912738,0.20930238,0.000744522,0.037001716,0.000019398,0.224388,0.000157,0.023545,0.249871058
mpi-single,sort16K.data,32,0,1,2,2,2,16384,2006,1003,0.000219159,0.089470452,0.22898389,0.001780249,0.027667886,0.000018881,0.326139,0.000843,0.027775,0.350796546
mpi-single,sort16K.data,32,1,1,2,2,2,16384,2006,1003,0.000370812,0.089649027,0.227791352,0.001793528,0.028003738,0.000017565,0.318215,0.000813,0.028151,0.350147266
mpi-single,sort16K.data,32,2,1,2,2,2,16384,2006,1003,0.000299626,0.089199271,0.22760129,0.001741907,0.027940346,0.000016243,0.317503,0.000829,0.028061,0.349362967
mpi-single,sort16K.data,32,3,1,2,2,2,16384,2006,1003,0.000285456,0.089672973,0.22807765,0.001757073,0.027806077,0.000020465,0.318424,0.000829,0.027923,0.350181013
mpi-single,sort64K.data,45,0,1,2,2,2,65536,2026,1013,0.00124741,0.006555865,0.238067422,0.005586217,0.029132144,0.000022974,0.261229,0.004059,0.031131,0.282923889
mpi-single,sort64K.data,45,1,1,2,2,2,65536,2026,1013,0.001565487,0.010187861,0.235970782,0.006064166,0.028952778,0.000021368,0.244369,0.004016,0.030777,0.28445727
mpi-single,sort64K.data,45,2,1,2,2,2,65536,2026,1013,0.001262472,0.006081635,0.23766617,0.006352254,0.029031967,0.000025391,0.242346,0.003967,0.03088,0.282866659
mpi-single,sort64K.data,45,3,1,2,2,2,65536,2026,1013,0.001333498,0.011740896,0.242134132,0.005565725,0.030145802,0.000023564,0.252439,0.003996,0.032228,0.293340583
mpi-single,sort1K.data,6,0,1,2,2,2,1024,2000,1000,0.000034484,0.000962751,0.25051254,0.043025728,0.048455724,0.000039185,0.26439,0.000043,0.038138,0.345686556
